,user_id,REGION,TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,ORANGE,TIGO,ZONE1,ZONE2,MRG,REGULARITY,TOP_PACK,FREQ_TOP_PACK,CHURN
1344191,9fce9dfdb4bbb91f6a47b7e51cb2c5c90fe84ba4,DAKAR,K > 24 month,,,,,,,408.0,,,,,NO,58,,,0
1330450,9e2cdb47b763ee3c8aaa37785891d74b0388d269,SAINT-LOUIS,K > 24 month,5950.0,23.0,5652.0,1884.0,28.0,,2220.0,120.0,3.0,,,NO,62,On net 200F=Unlimited _call24H,21.0,0
1534777,b65ec77590bdd6335119ea8bb88d212baa91c8b7,LOUGA,K > 24 month,15000.0,27.0,15000.0,5000.0,26.0,0.0,1678.0,357.0,0.0,,,NO,59,MIXT:500F= 2500F on net _2500F off net;2d,22.0,0
792583,5e3d6507d1c6c4e3e669f87678290dec888449e3,THIES,I 18-21 month,3000.0,6.0,2902.0,967.0,9.0,,34.0,112.0,10.0,,,NO,29,Jokko_Daily,3.0,0
1782169,d3cc470885234c5dae5a19017e1d13b7af7f1228,DAKAR,K > 24 month,3000.0,1.0,8000.0,2667.0,3.0,1637.0,136.0,304.0,2.0,,,NO,57,MIXT: 200mnoff net _unl on net _5Go;30d,2.0,0
289972,228c8c2265071dd530523ae5cc001d631a923378,SAINT-LOUIS,K > 24 month,2450.0,12.0,2448.0,816.0,13.0,1661.0,31.0,5.0,8.0,,,NO,42,Data:DailyCycle_Pilot_1.5GB,11.0,0
950509,710d22ce01e5fc003778b91931cbfeca66a16cc2,,K > 24 month,,,,,,,,,,,,NO,9,,,1
1916809,e3cae45998686ff2e21882ff863137c9e1efc419,,K > 24 month,,,,,,,,,,,,NO,21,,,0
138077,107bd77ecce6809899bc7e741141107c7a773fe0,,K > 24 month,,,,,,184.0,,,,,,NO,10,,,1
2052112,f3dfc57c881128bfc375b6a66393fa430f06261f,DAKAR,K > 24 month,,,576.0,192.0,3.0,,,3.0,,,,NO,23,"Data:200F=Unlimited,24H",1.0,0
382046,2d6c969d7be58b9b3c3c1170d8f4e53db009d019,THIES,K > 24 month,2500.0,5.0,2351.0,784.0,8.0,,8.0,33.0,3.0,,,NO,41,All-net 500F=2000F;5d,2.0,0
148746,11be4da0399e7499c6509edb7397469c60a03a0b,,K > 24 month,,,,,,,,,,,,NO,1,,,1
2009325,eed502c1af48e89b5ba9a02a8327a5a1a3f9b369,KAFFRINE,K > 24 month,200.0,1.0,135.0,45.0,1.0,,1.0,,,,,NO,23,,,0
916028,6cf4eada7c4d5dcada065a09aa6a5b4e9f1a6a94,SAINT-LOUIS,K > 24 month,4200.0,13.0,3946.0,1315.0,16.0,,20.0,40.0,16.0,0.0,,NO,38,All-net 500F=2000F;5d,6.0,0
1626266,c13f58c0477932518e060678c21bcacdef05987e,,K > 24 month,,,1000.0,333.0,2.0,0.0,46.0,,,,,NO,43,"On-net 500=4000,10d",2.0,0
1801070,d60bb505ad9f48f23c41bfb240579093f188babe,,K > 24 month,,,,,,,,,,,,NO,3,,,1
493350,3aa4b3aade623715b42982a7c863efc0fc71e1cc,,K > 24 month,,,,,,,8.0,,,,,NO,15,,,0
347214,294ec3e8f0ac34b18982f70f52630b82e39a699b,DAKAR,K > 24 month,18500.0,34.0,18847.0,6282.0,33.0,,23.0,522.0,18.0,,1.0,NO,56,All-net 500F=2000F;5d,34.0,0
1874346,dec080b0fe233b5dc7405b148be4a4d5be159bdd,DAKAR,K > 24 month,1100.0,2.0,1090.0,363.0,2.0,1444.0,7.0,,,,,NO,25,"Data:1000F=2GB,30d",1.0,0
388788,2e384468a649ea0e6b151061c9d39d72077f4228,DAKAR,K > 24 month,5200.0,9.0,5171.0,1724.0,12.0,8688.0,11.0,18.0,12.0,,,NO,57,"Data:490F=1GB,7d",8.0,0
1694572,c95cf5e8dc89940cb6037f5ad17021b14164266c,DAKAR,I 18-21 month,12750.0,24.0,12748.0,4249.0,29.0,192.0,43.0,5.0,2.0,,41.0,NO,52,"Data:490F=1GB,7d",1.0,0
53097,0664fb7167439a5f4b206468dbb5b4ad89243520,,K > 24 month,1000.0,1.0,1227.0,409.0,2.0,175.0,,,,,,NO,2,"Data:1000F=5GB,7d",1.0,0
1377893,a3d14d316fe3587db95e113072fbb08cc689aaf6,,K > 24 month,,,,,,,,,,,,NO,22,,,0
1652971,c467a7e5ca1c3c60e89291bdb00adb3412913cd8,DAKAR,K > 24 month,2400.0,15.0,2400.0,800.0,15.0,4205.0,3.0,4.0,4.0,,,NO,27,"Data: 100 F=40MB,24H",22.0,0
599407,473924beca5ecefa26af9fbef1e36c49e01cf524,DAKAR,K > 24 month,7600.0,10.0,7582.0,2527.0,12.0,14935.0,,22.0,48.0,,,NO,42,"Data:1000F=2GB,30d",4.0,0
6319,00c3d3b77c8ddf8c2599626abb87056d8b0b2ef7,DAKAR,K > 24 month,1300.0,11.0,1100.0,367.0,13.0,1108.0,1.0,0.0,,,,NO,33,,,0
909010,6c212246b500f798cd214350d98e402607575265,DAKAR,K > 24 month,12000.0,4.0,14000.0,4667.0,6.0,686.0,157.0,486.0,71.0,1.0,,NO,61,MIXT: 200mnoff net _unl on net _5Go;30d,4.0,0
1515956,b42764f896fba986e5b68923357670d0161d58a1,,K > 24 month,1700.0,4.0,1700.0,567.0,5.0,2718.0,1.0,7.0,,,,NO,5,"Data: 200 F=100MB,24H",1.0,0
1781376,d3b440eb21d6e409c2cc1384f0e6cba6ea27ae8a,DAKAR,K > 24 month,5495.0,9.0,5494.0,1831.0,10.0,,149.0,2.0,,,,NO,39,EVC_500=2000F,5.0,0
1145494,88443684c4cb4de763bef1690e311efd7a36b638,DAKAR,K > 24 month,16500.0,14.0,17099.0,5700.0,17.0,962.0,1129.0,339.0,73.0,,,NO,57,All-net 500F=2000F;5d,6.0,0
414793,3153f6234b6b710491e59af67551b1ac2c480e4f,,K > 24 month,,,,,,,,,,,,NO,32,,,0
534297,3f80ce5bfb2995651867c824eba918c0c34bbb31,THIES,K > 24 month,8200.0,22.0,8234.0,2745.0,24.0,0.0,718.0,10.0,34.0,,,NO,51,All-net 500F=2000F;5d,8.0,0
1617698,c03ba5749462ea42bcc02f8fecc14e12695d4ab6,THIES,K > 24 month,9050.0,29.0,9000.0,3000.0,34.0,0.0,261.0,70.0,137.0,,,NO,62,Mixt 250F=Unlimited_call24H,19.0,0
1922986,e4898c86cd2e35ce654931163f8b5182b005e519,,K > 24 month,,,,,,,,,,,,NO,8,,,1
301718,23f2f0e3edcf1306856a242378c4673af5ea5cab,,K > 24 month,4700.0,12.0,5487.0,1829.0,17.0,6560.0,343.0,44.0,20.0,,,NO,44,On net 200F=Unlimited _call24H,11.0,1
1185275,8cf62b4f4490340eb284eb066a07d9b98619ee33,DAKAR,K > 24 month,1700.0,5.0,1700.0,567.0,6.0,,1.0,26.0,0.0,,,NO,10,All-net 500F=2000F;5d,1.0,0
1977609,eb0bf0ff81db52963f3e038fa032aee3162e1a10,DAKAR,K > 24 month,10000.0,17.0,10051.0,3350.0,20.0,1555.0,123.0,387.0,12.0,0.0,,NO,56,IVR Echat_Daily_50F,8.0,0
349283,298cdf870dee406ca3c0ca4942edea567b454f27,SAINT-LOUIS,K > 24 month,4800.0,26.0,5817.0,1939.0,31.0,3120.0,1.0,1.0,,,0.0,NO,57,"Data: 100 F=40MB,24H",21.0,0
187321,1653fd0a3b85a064c8d9fb606472dad1a42b8069,,K > 24 month,,,,,,,,,,,,NO,7,,,0
2081601,f762b4295574800d00709d14317e51873281df72,,I 18-21 month,,,,,,,0.0,,,,,NO,1,,,1
177031,151743177ff94bac11381a92eb884f4b382e7e33,DAKAR,K > 24 month,500.0,1.0,500.0,167.0,1.0,,8.0,17.0,,,,NO,48,All-net 500F=2000F;5d,1.0,0
928798,6e7efda26f7aa489d1f2fed89f8290a059d6896b,,K > 24 month,,,,,,,,,,,,NO,1,,,1
78518,0966e40a7a2685b03f4b6ff43e5125638e7a4a11,,I 18-21 month,200.0,1.0,,,,,,,,,,NO,1,,,1
1189085,8d6b90aef0b1af10832cf8a23069eef6dd024822,DIOURBEL,K > 24 month,,,,,,,,,,,,NO,8,,,0
1358704,a186f0f47cacc87f80390e87188e363b2a4c29a1,THIES,K > 24 month,8000.0,4.0,10402.0,3467.0,5.0,,375.0,284.0,24.0,1.0,,NO,62,MIXT: 200mnoff net _unl on net _5Go;30d,3.0,0
1632870,c2056364409297276687fd3e245a912ee7a10c34,LOUGA,K > 24 month,,,,,,,,,,,,NO,5,,,0
1398788,a648b2473a358e312fdaee48d33067c505ba1c57,,K > 24 month,2500.0,3.0,2500.0,833.0,4.0,4592.0,2.0,2.0,,,,NO,22,"Data:1000F=2GB,30d",2.0,0
1165196,8a9accb30e92826506c538f102165dd48d258a5b,,K > 24 month,,,,,,,,,,,,NO,4,,,1
613874,48f4a5530b3b489dcdc96bb47e3da97ec1242545,,K > 24 month,,,,,,,,,,,,NO,4,,,1
945362,7074782c7e760dff2cd604efeec6286e0417990b,DAKAR,K > 24 month,900.0,8.0,899.0,300.0,8.0,65.0,,1.0,,,,NO,21,"Data: 100 F=40MB,24H",8.0,0
212058,194771b68e3383c8fe7e47284364e1aa2e01300c,DAKAR,K > 24 month,500.0,1.0,500.0,167.0,1.0,,,22.0,5.0,,,NO,8,All-net 500F=2000F;5d,1.0,0
469542,37d18b54fd58367fb969304abd5ab1ed926be8ca,,K > 24 month,,,,,,,,,,,,NO,22,,,0
603912,47c286940451a247f4b61f3aed6b95f109bfda99,,K > 24 month,,,,,,0.0,,,,,,NO,3,,,1
2111673,faf380c47edd9ecda6eecf26c8e9ae766a244ba2,DAKAR,K > 24 month,5150.0,9.0,5150.0,1717.0,12.0,6936.0,,5.0,,0.0,,NO,39,"Data:490F=1GB,7d",4.0,0
959320,7219b650e7742e4cdb6743fbe1fee15d49699676,KAOLACK,I 18-21 month,4000.0,8.0,4102.0,1367.0,9.0,,4.0,118.0,1.0,,,NO,29,All-net 500F =2000F_AllNet_Unlimited,7.0,0
1555463,b8d6163f4212c1b5506faa2fde4be6e7eb93c81c,LOUGA,K > 24 month,9000.0,3.0,9025.0,3008.0,4.0,0.0,644.0,171.0,5.0,3.0,,NO,60,MIXT: 200mnoff net _unl on net _5Go;30d,3.0,0
1628834,c18aa0e0d6c35a4395428a3acba0ef9b683bcea7,DAKAR,K > 24 month,8350.0,32.0,8352.0,2784.0,33.0,8973.0,0.0,1.0,,,,NO,45,"Data: 200 F=100MB,24H",32.0,0
100118,0bf2cfe16543d58b34ebdf19b8ef5945c9744c8e,DAKAR,K > 24 month,16050.0,41.0,16034.0,5345.0,74.0,2461.0,27.0,82.0,19.0,,0.0,NO,61,Mixt 250F=Unlimited_call24H,40.0,0
830824,62c7f1376dd80ab61dc066f3021786291c1a55d6,DAKAR,K > 24 month,2900.0,7.0,3360.0,1120.0,10.0,5201.0,1.0,0.0,,,,NO,50,"Data:490F=1GB,7d",6.0,0
1028244,7a49230f5820d6d7b4725c7a5076515bf90ca780,,K > 24 month,,,,,,,,,,,,NO,3,,,1
59225,071e19b52fe91eb41012cd3f0c6d939dad5bf802,,K > 24 month,550.0,3.0,550.0,183.0,3.0,,,4.0,,,,NO,1,,,0
1452211,aca082f0c9886ddee3cacb1ea50d2564d6a8f7b5,THIES,K > 24 month,4000.0,8.0,4500.0,1500.0,10.0,0.0,387.0,106.0,1.0,,,NO,16,All-net 500F=2000F;5d,6.0,0
913377,6ca7d3afff4d38f7e859dcd4cf434976afa3e45c,,K > 24 month,,,,,,0.0,19.0,1.0,,,,NO,8,,,0
1173613,8b9942b5c925b05b25148732e9ee4866b563364a,DAKAR,K > 24 month,1500.0,2.0,1491.0,497.0,4.0,1981.0,8.0,,,,0.0,NO,20,"Data:1000F=2GB,30d",1.0,0
1067312,7eea6936d941027342b2300392c30a72c8939cd1,KAFFRINE,K > 24 month,13000.0,26.0,12951.0,4317.0,26.0,0.0,568.0,168.0,1.0,,,NO,61,All-net 500F=2000F;5d,14.0,0
2106793,fa6084db421daad9c298388fd0ef8bf46c53f739,DAKAR,K > 24 month,6000.0,6.0,7000.0,2333.0,14.0,,118.0,,,,,NO,29,MIXT:500F= 2500F on net _2500F off net;2d,1.0,0
1277668,97e6bab59e6cb4fd5f948ac8307220f4ac6fe2c8,,K > 24 month,5850.0,28.0,4999.0,1666.0,31.0,4927.0,413.0,27.0,1.0,,,NO,41,Data:DailyCycle_Pilot_1.5GB,11.0,0
123695,0ec47903650354ff0748d49ed84086d64611c239,,J 21-24 month,500.0,1.0,500.0,167.0,1.0,,,13.0,,,,NO,5,All-net 500F=2000F;5d,1.0,1
535448,3fa4d24ae3df792100746f9cb92276ea4a7c1787,DAKAR,K > 24 month,6500.0,12.0,6500.0,2167.0,14.0,2.0,1.0,150.0,2.0,10.0,,NO,62,All-net 500F=2000F;5d,11.0,0
2005875,ee6ae43d5d77dfc31c4b90ae6185551b0f85d5f9,LOUGA,K > 24 month,7000.0,20.0,6372.0,2124.0,23.0,3029.0,58.0,57.0,6.0,,,NO,54,"Data: 200 F=100MB,24H",4.0,0
1282477,9876b7c212c917ec2b303de8060393f411834742,DAKAR,K > 24 month,,,,,,0.0,,1.0,,,,NO,7,,,0
1374062,a358e84b921c9e6bf81eb23235b60a837d6dd76f,DAKAR,K > 24 month,7000.0,14.0,7000.0,2333.0,14.0,,115.0,225.0,3.0,,,NO,55,All-net 500F=2000F;5d,14.0,0
1770099,d25e581245c2a9533c8a4da4a643d97d21aaaa2d,KAOLACK,K > 24 month,1550.0,5.0,2100.0,700.0,10.0,,0.0,51.0,4.0,,,NO,9,Mixt 250F=Unlimited_call24H,5.0,0
1821905,d8828440f81bedab8357c6c88705bcdaab418b15,DAKAR,K > 24 month,2200.0,5.0,2199.0,733.0,11.0,150.0,5.0,37.0,1.0,,,NO,19,All-net 500F=2000F;5d,2.0,0
1280866,9846f91bf81bd1d0dc1f3268296d708413262e25,DAKAR,K > 24 month,2000.0,4.0,2050.0,683.0,7.0,2274.0,,,,,,NO,26,"Data:490F=1GB,7d",2.0,0
79641,098a181f6d2a9552f69237c0154171290cebd977,,K > 24 month,,,,,,,,,,,,NO,6,,,0
2049267,f38a954aa22f52022a10110d23dd77a2827d4312,DAKAR,K > 24 month,27900.0,62.0,28889.0,9630.0,58.0,10699.0,3682.0,128.0,23.0,,,NO,62,On-net 500F_FNF;3d,26.0,0
1505185,b2e1cdea4f888d05f36345eb2562e8e10e78af46,KAOLACK,K > 24 month,250.0,1.0,250.0,83.0,1.0,56.0,,10.0,,,,NO,9,Mixt 250F=Unlimited_call24H,1.0,0
65898,07e66c501d7460a0c8ce0ef22dd2f94f4b02d62c,,K > 24 month,,,,,,,,,,,,NO,1,,,1
1955070,e85bcbd088ff1d3c8d159e0eff42e37f919359af,DIOURBEL,K > 24 month,4950.0,11.0,5381.0,1794.0,15.0,358.0,587.0,13.0,63.0,3.0,,NO,62,On net 200F=Unlimited _call24H,6.0,0
750457,593bdcea4457c150b881c88973e431aa1243ff9c,,K > 24 month,9150.0,27.0,9400.0,3133.0,36.0,2300.0,2285.0,155.0,4.0,10.0,,NO,59,Mixt 250F=Unlimited_call24H,16.0,0
1828289,d942ffe28bfdde9058c3784e6d270edc134c805f,LOUGA,K > 24 month,,,,,,0.0,1.0,,,,,NO,1,,,0
675044,503840b22829f2b8c861afd202b8ccc4cac22a4c,,K > 24 month,,,,,,1.0,0.0,,,,,NO,2,,,1
389358,2e4a534df410ce029d007be3655c4172d1c6ffd7,FATICK,K > 24 month,500.0,1.0,501.0,167.0,2.0,0.0,,13.0,1.0,,,NO,20,All-net 500F=2000F;5d,1.0,0
1878941,df4c745478513332ea5f2e6c5b8b94f4cb545acb,,F 9-12 month,200.0,1.0,,,,,,,,,,NO,5,,,0
857410,65f8fd87776e79210ecdd3422a867d40de580383,,K > 24 month,,,,,,,,,,,,NO,1,,,1
812440,6094c99a30537b8e4b7a0440629c676c402caaa6,DAKAR,K > 24 month,8250.0,10.0,8238.0,2746.0,11.0,20087.0,4.0,19.0,23.0,,,NO,62,"Data:1000F=2GB,30d",7.0,0
135589,103067f32247760ed574a60d7cd9ba119b8021b4,,K > 24 month,,,,,,,,,,,,NO,1,,,1
273998,20a6a5ba16b5105853b58b9f9baff2756604ab3c,DAKAR,K > 24 month,1050.0,4.0,928.0,309.0,7.0,,295.0,39.0,,,,NO,37,On net 200F=Unlimited _call24H,2.0,0
101757,0c23b1afb35df0652f1d3f3eb7cc58c75ed172eb,THIES,K > 24 month,2000.0,4.0,1939.0,646.0,4.0,,14.0,11.0,13.0,,,NO,36,All-net 500F=2000F;5d,1.0,0
1659255,c528e6b95f867e5c6f21fa5c83c0fd879f1251b4,,K > 24 month,,,,,,,,,,,,NO,12,,,1
1649308,c3f7dade327a1be843c19aa9d5bce734762dfd2e,LOUGA,K > 24 month,3200.0,7.0,3199.0,1066.0,8.0,,74.0,57.0,24.0,6.0,,NO,36,MIXT:500F= 2500F on net _2500F off net;2d,6.0,0
205115,18727df77903a91d8cf590c11804b82367dea52e,,K > 24 month,,,,,,,,,,,,NO,27,,,0
362442,2b1d8c61a740e703f5baacb9d04264d1a33a8686,,K > 24 month,,,,,,,,,,,,NO,1,,,1
1806391,d6acc3d1400ba0d355eece89eb0ce5b9c6006138,,K > 24 month,500.0,1.0,2.0,1.0,1.0,,,,,,,NO,5,,,0
725800,5643823f9248f0828a3a85df4ad6aa80ef068823,,K > 24 month,,,,,,,,,,,,NO,2,,,1
546334,40f0e8ab5acffe5f6d89ee41e3a96e2e1909c890,,K > 24 month,,,,,,,,,,,,NO,42,,,0
791961,5e29b62642c63dcd9380b9852fd547479a7b407c,THIES,K > 24 month,500.0,1.0,500.0,167.0,1.0,866.0,,0.0,,,,NO,19,"Data:490F=1GB,7d",1.0,0
1353432,a0e34eb8aaff193420c3b8fb5d790dd0118ea792,DAKAR,K > 24 month,3000.0,6.0,3001.0,1000.0,6.0,4526.0,4.0,43.0,1.0,,,NO,55,"Data:490F=1GB,7d",4.0,0
1881534,df9b0f9d80add0156c6e1883af016ecf4b07ddd9,DAKAR,K > 24 month,14250.0,27.0,14748.0,4916.0,28.0,0.0,394.0,131.0,17.0,,,NO,61,All-net 500F =2000F_AllNet_Unlimited,23.0,0
468924,37c0a3fffed3d6c6774d92816dd7b85991add3ef,DAKAR,K > 24 month,1000.0,2.0,1001.0,334.0,3.0,,27.0,6.0,2.0,,,NO,3,All-net 500F=1250F_AllNet_1250_Onnet;48h,2.0,0
1046143,7c68cda16a37d37ad0d9891ba2b5c68aa6a2f74d,,K > 24 month,,,,,,,,,,,,NO,6,,,1
629577,4ad837dea9155ff4bde6a766af68736ce147c8e1,KAOLACK,K > 24 month,16200.0,32.0,15548.0,5183.0,34.0,,427.0,454.0,299.0,,,NO,59,Jokko_Daily,26.0,0
11424,015f28b3b8a7d8049aa1dbe5ce059dd13ebd8603,,K > 24 month,1300.0,4.0,1717.0,572.0,5.0,0.0,10.0,,1.0,,2.0,NO,6,Twter_U2opia_Weekly,1.0,0
1203382,8f1c1dd436d0c7ce4b2409bc8a696705fbbf28b2,KAOLACK,K > 24 month,,,,,,0.0,,,,,,NO,35,,,0
902467,6b58ca6d57484e1b8b5eefb809d6667282d15682,,K > 24 month,,,,,,,,,,,,NO,2,,,1
1764774,d1bc22d32bcaa60f40dfb70d1b9369088a616239,,K > 24 month,7600.0,19.0,7225.0,2408.0,26.0,7473.0,11.0,55.0,23.0,,,NO,37,"Data:490F=1GB,7d",8.0,0
1258071,959092168b17904c5c526e7b1b92353715c72788,SAINT-LOUIS,K > 24 month,300.0,1.0,286.0,95.0,2.0,1.0,2.0,2.0,,,,NO,49,,,0
1932518,e5ac3469c4da3b7b48a7e7178b2cb5c601c84b04,DAKAR,K > 24 month,,,,,,21.0,4.0,,,,,NO,10,,,0
29903,03964136c81fc1d865e22f76f70e9967563950d3,,K > 24 month,400.0,2.0,400.0,133.0,2.0,10.0,34.0,,,,,NO,55,On net 200F= 3000F_10Mo ;24H,2.0,0
1077233,801a8ebd88faa28f5e182fb15e1fddd7949401d6,DAKAR,K > 24 month,6450.0,24.0,6435.0,2145.0,25.0,1220.0,108.0,118.0,65.0,,,NO,37,Mixt 250F=Unlimited_call24H,22.0,0
821511,61a88ab849802fd506aa3d816e1ab3feac432b33,,K > 24 month,1900.0,5.0,1697.0,566.0,5.0,0.0,1.0,11.0,,,,NO,7,Twter_U2opia_Weekly,1.0,0
1753457,d065a85a3df710c34462fd2772b0d9a879938c75,DAKAR,K > 24 month,3000.0,6.0,3000.0,1000.0,6.0,0.0,69.0,57.0,27.0,,,NO,30,All-net 500F=2000F;5d,3.0,0
630341,4aee287aa1497d28a4a381d6e931858d4e53f7f7,,K > 24 month,,,,,,,,,,,,NO,1,,,1
959033,72113b3cdfe1c46b81e3e22fde7444f403768b95,KAOLACK,K > 24 month,2500.0,5.0,2500.0,833.0,5.0,0.0,21.0,70.0,4.0,0.0,,NO,33,All-net 500F=2000F;5d,5.0,0
1193212,8de80786ac8f087e71037ac686bd88864a6b9392,,K > 24 month,8000.0,13.0,6587.0,2196.0,15.0,,5.0,145.0,4.0,,7.0,NO,19,All-net 500F=2000F;5d,9.0,1
186310,16358f891c31e52286e014276a824c671625e086,THIES,H 15-18 month,5900.0,9.0,6370.0,2123.0,11.0,9393.0,9.0,31.0,,,,NO,60,"Data:490F=1GB,7d",4.0,0
1713927,cba4f505c8041a25986bbe86d2dcbe67fb932c4e,,K > 24 month,,,,,,,,,,,,NO,3,,,1
623872,4a276fbb822f015fefb6ffc451b5d63df10c212e,THIES,K > 24 month,500.0,1.0,,,,,3.0,3.0,2.0,,,NO,22,,,0
760713,5a73ebbdcd128b5ff33c31afc8aa6bbd126c20d1,,K > 24 month,,,,,,,,,,,,NO,2,,,0
1811481,d747545efbe9fda937bad8daa679a702b1baf10f,THIES,K > 24 month,650.0,2.0,500.0,167.0,1.0,,37.0,1.0,,,,NO,59,All-net 500F=2000F;5d,1.0,0
